Depth,K
m,%
654.42,1.9251
654.52,1.9431
654.62,1.91353
654.72,1.8733
654.82,1.8527
654.92,1.86126
655.02,1.88576
655.12,1.89329
655.22,1.85365
655.32,1.77048
655.42,1.67274
655.52,1.59703
655.62,1.57348
655.72,1.61294
655.82,1.70151
655.92,1.81576
656.02,1.93036
656.12,2.02563
656.22,2.08607
656.32,2.10297
656.42,2.06726
656.52,1.97795
656.62,1.85767
656.72,1.74464
656.82,1.6727
656.92,1.6563
657.02,1.69968
657.12,1.79252
657.22,1.90106
657.32,1.99285
657.42,2.0335
657.52,2.0144
657.62,1.9526
657.72,1.8751
657.82,1.81357
657.92,1.79323
658.02,1.82363
658.12,1.87915
658.22,1.91266
658.32,1.91046
658.42,1.87714
658.52,1.83101
658.62,1.78607
658.72,1.7573
658.82,1.7554
658.92,1.76872
659.02,1.77919
659.12,1.77375
659.22,1.76096
659.32,1.75968
659.42,1.77314
659.52,1.79739
659.62,1.83591
659.72,1.89286
659.82,1.94439
659.92,1.95844
660.02,1.9224
660.12,1.8455
660.22,1.75961
660.32,1.70659
660.42,1.71893
660.52,1.80167
660.62,1.92214
660.72,2.03099
660.82,2.09035
660.92,2.08073
661.02,2.00482
661.12,1.89423
661.22,1.78168
661.32,1.69142
661.42,1.63837
661.52,1.62711
661.62,1.65961
661.72,1.7241
661.82,1.80409
661.92,1.87548
662.02,1.92881
662.12,1.96813
662.22,1.98769
662.32,1.98937
662.42,1.9824
662.52,1.96221
662.62,1.92028
662.72,1.85827
662.82,1.80577
662.92,1.7825
663.02,1.78475
663.12,1.79822
663.22,1.79847
663.32,1.77641
663.42,1.74921
663.52,1.73502
663.62,1.74092
663.72,1.7563
663.82,1.75774
663.92,1.72004
664.02,1.64063
664.12,1.54677
664.22,1.46058
664.32,1.39696
664.42,1.37015
664.52,1.38992
664.62,1.45013
664.72,1.5311
664.82,1.59074
664.92,1.58726
665.02,1.50581
665.12,1.36984
665.22,1.23528
665.32,1.16251
665.42,1.17624
665.52,1.25326
665.62,1.34595
665.72,1.42126
665.82,1.46891
665.92,1.49299
666.02,1.50481
666.12,1.50316
666.22,1.49232
666.32,1.49078
666.42,1.52706
666.52,1.62693
666.62,1.78596
666.72,1.95793
666.82,2.08802
666.92,2.13969
667.02,2.112
667.12,2.03159
667.22,1.93883
667.32,1.85808
667.42,1.78184
667.52,1.6945
667.62,1.5993
667.72,1.51678
667.82,1.47571
667.92,1.49288
668.02,1.56456
668.12,1.66695
668.22,1.77388
668.32,1.86525
668.42,1.94159
668.52,2.0146
668.62,2.08561
668.72,2.12809
668.82,2.10519
668.92,1.99222
669.02,1.79372
669.12,1.5585
669.22,1.36177
669.32,1.25842
669.42,1.2648
669.52,1.3564
669.62,1.47524
669.72,1.56322
669.82,1.60243
669.92,1.60232
670.02,1.58385
670.12,1.58252
670.22,1.61407
670.32,1.66915
670.42,1.73344
670.52,1.80145
670.62,1.86496
670.72,1.92654
670.82,1.99061
670.92,2.04154
671.02,2.05959
671.12,2.03676
671.22,1.95846
671.32,1.82753
671.42,1.67783
671.52,1.56287
671.62,1.51122
671.72,1.52744
671.82,1.59365
671.92,1.69078
672.02,1.81451
672.12,1.96326
672.22,2.12488
672.32,2.27134
672.42,2.36249
672.52,2.35487
672.62,2.23809
672.72,2.05051
672.82,1.85578
672.92,1.70174
673.02,1.59462
673.12,1.51023
673.22,1.44012
673.32,1.39812
673.42,1.41556
673.52,1.51839
673.62,1.7013
673.72,1.91097
673.82,2.07887
673.92,2.15506
674.02,2.12216
674.12,1.99813
674.22,1.82981
674.32,1.66583
674.42,1.54611
674.52,1.49127
674.62,1.50763
674.72,1.59195
674.82,1.71271
674.92,1.81527
675.02,1.85529
675.12,1.82836
675.22,1.75703
675.32,1.67019
675.42,1.58754
675.52,1.51583
675.62,1.46966
675.72,1.46215
675.82,1.49335
675.92,1.56268
676.02,1.66519
676.12,1.77688
676.22,1.85742
676.32,1.87924
676.42,1.84342
676.52,1.77544
676.62,1.70501
676.72,1.6402
676.82,1.57518
676.92,1.51634
677.02,1.48339
677.12,1.48268
677.22,1.50712
677.32,1.55368
677.42,1.62077
677.52,1.70061
677.62,1.78062
677.72,1.84299
677.82,1.86722
677.92,1.83585
678.02,1.74485
678.12,1.61401
678.22,1.49636
678.32,1.44449
678.42,1.48271
678.52,1.58879
678.62,1.71679
678.72,1.82389
678.82,1.886
678.92,1.90816
679.02,1.91591
679.12,1.92502
679.22,1.93678
679.32,1.94247
679.42,1.93474
679.52,1.91284
679.62,1.89124
679.72,1.89655
679.82,1.93105
679.92,1.97947
680.02,2.03138
680.12,2.06491
680.22,2.07184
680.32,2.05863
680.42,2.04181
680.52,2.03078
680.62,2.01914
680.72,1.99005
680.82,1.92851
680.92,1.83714
681.02,1.73636
681.12,1.63337
681.22,1.54381
681.32,1.4852
681.42,1.46236
681.52,1.47019
681.62,1.49966
681.72,1.53261
681.82,1.5418
681.92,1.51759
682.02,1.47304
682.12,1.42892
682.22,1.41178
682.32,1.43803
682.42,1.49604
682.52,1.56063
682.62,1.61332
682.72,1.65845
682.82,1.71439
682.92,1.78317
683.02,1.84266
683.12,1.88232
683.22,1.92785
683.32,1.99411
683.42,2.06737
683.52,2.1253
683.62,2.13864
683.72,2.08804
683.82,1.98641
683.92,1.87442
684.02,1.80209
684.12,1.79213
684.22,1.83119
684.32,1.87768
684.42,1.90046
684.52,1.89039
684.62,1.84222
684.72,1.77337
684.82,1.72483
684.92,1.73277
685.02,1.81128
685.12,1.95187
685.22,2.11218
685.32,2.22748
685.42,2.25821
685.52,2.20234
685.62,2.07937
685.72,1.92003
685.82,1.75111
685.92,1.59842
686.02,1.48918
686.12,1.44358
686.22,1.46017
686.32,1.52075
686.42,1.59451
686.52,1.63919
686.62,1.63627
686.72,1.61322
686.82,1.62321
686.92,1.71106
687.02,1.87348
687.12,2.06132
687.22,2.20394
687.32,2.23994
687.42,2.14911
687.52,1.96545
687.62,1.7595
687.72,1.60028
687.82,1.52729
687.92,1.53824
688.02,1.59691
688.12,1.66245
688.22,1.68995
688.32,1.64565
688.42,1.53816
688.52,1.40512
688.62,1.29754
688.72,1.2638
688.82,1.32784
688.92,1.46909
689.02,1.62937
689.12,1.7455
689.22,1.77272
689.32,1.7101
689.42,1.59198
689.52,1.45453
689.62,1.3352
689.72,1.26931
689.82,1.28121
689.92,1.37337
690.02,1.52951
690.12,1.71265
690.22,1.87889
690.32,1.98698
690.42,2.01759
690.52,1.98203
690.62,1.92096
690.72,1.878
690.82,1.86237
690.92,1.85663
691.02,1.84414
691.12,1.80588
691.22,1.7362
691.32,1.64729
691.42,1.56194
691.52,1.51689
691.62,1.54172
691.72,1.63823
691.82,1.77444
691.92,1.90729
692.02,1.99866
692.12,2.01836
692.22,1.97229
