Depth,Th
m,ppm
654.72,11.3501
654.82,11.5471
654.92,12.345
655.02,13.4955
655.12,14.6129
655.22,15.3204
655.32,15.3915
655.42,14.7137
655.52,13.5366
655.62,12.2988
655.72,11.4892
655.82,11.4285
655.92,12.047
656.02,13.0075
656.12,13.9311
656.22,14.5655
656.32,14.8479
656.42,14.8723
656.52,14.7401
656.62,14.4325
656.72,13.8827
656.82,13.0005
656.92,11.8586
657.02,10.7722
657.12,10.0928
657.22,10.1485
657.32,10.9525
657.42,12.1134
657.52,13.0836
657.62,13.5649
657.72,13.5447
657.82,13.1303
657.92,12.5912
658.02,12.2394
658.12,12.2549
658.22,12.639
658.32,13.1671
658.42,13.5831
658.52,13.7189
658.62,13.521
658.72,13.1509
658.82,12.9299
658.92,13.1042
659.02,13.6358
659.12,14.1467
659.22,14.23
659.32,13.8945
659.42,13.4411
659.52,13.0898
659.62,12.8545
659.72,12.5169
659.82,11.8114
659.92,10.7591
660.02,9.56396
660.12,8.44885
660.22,7.63472
660.32,7.26416
660.42,7.2468
660.52,7.61119
660.62,8.4414
660.72,9.5569
660.82,10.7032
660.92,11.6129
661.02,12.0924
661.12,12.1645
661.22,12.0496
661.32,11.9527
661.42,11.9617
661.52,12.1592
661.62,12.469
661.72,12.6812
661.82,12.7449
661.92,12.4962
662.02,11.8359
662.12,10.8285
662.22,9.78445
662.32,9.10558
662.42,9.01892
662.52,9.55566
662.62,10.4379
662.72,11.2737
662.82,11.7821
662.92,11.8713
663.02,11.7109
663.12,11.5308
663.22,11.5401
663.32,11.8564
663.42,12.3504
663.52,12.7931
663.62,12.9593
663.72,12.7142
663.82,12.0915
663.92,11.2709
664.02,10.6261
664.12,10.3767
664.22,10.4854
664.32,10.692
664.42,10.7526
664.52,10.6496
664.62,10.5159
664.72,10.4991
664.82,10.6742
664.92,10.911
665.02,11.0766
665.12,11.1998
665.22,11.4968
665.32,12.1572
665.42,13.1797
665.52,14.2012
665.62,14.7731
665.72,14.7402
665.82,14.0602
665.92,12.9038
666.02,11.6579
666.12,10.5551
666.22,9.64045
666.32,8.91939
666.42,8.56428
666.52,8.67173
666.62,9.24646
666.72,10.1986
666.82,11.1625
666.92,11.8317
667.02,12.1274
667.12,12.0721
667.22,11.7895
667.32,11.4155
667.42,10.9957
667.52,10.5186
667.62,10.0597
667.72,9.80496
667.82,9.93214
667.92,10.5327
668.02,11.4723
668.12,12.3912
668.22,12.8647
668.32,12.6889
668.42,12.0179
668.52,11.2964
668.62,11.033
668.72,11.3744
668.82,12.0589
668.92,12.65
669.02,12.7953
669.12,12.4752
669.22,12.0587
669.32,12.1045
669.42,12.9109
669.52,14.1821
669.62,15.2353
669.72,15.3764
669.82,14.3572
669.92,12.3735
670.02,9.92552
670.12,7.82646
670.22,6.72692
670.32,6.83706
670.42,8.00533
670.52,9.94864
670.62,12.2218
670.72,14.2257
670.82,15.5323
670.92,15.9326
671.02,15.4074
671.12,14.1455
671.22,12.4591
671.32,10.8315
671.42,9.71946
671.52,9.25843
671.62,9.28741
671.72,9.68319
671.82,10.5083
671.92,11.7896
672.02,13.3957
672.12,15.0749
672.22,16.5385
672.32,17.5568
672.42,17.9141
672.52,17.6398
672.62,17.1142
672.72,16.7193
672.82,16.5536
672.92,16.5371
673.02,16.519
673.12,16.5059
673.22,16.5752
673.32,16.6425
673.42,16.4928
673.52,16.0209
673.62,15.2614
673.72,14.3051
673.82,13.407
673.92,12.869
674.02,12.7184
674.12,12.8274
674.22,12.9782
674.32,13.058
674.42,13.283
674.52,13.8668
674.62,14.8457
674.72,16.0226
674.82,16.9131
674.92,17.0507
675.02,16.2567
675.12,14.7493
675.22,12.9593
675.32,11.3191
675.42,10.1757
675.52,9.60188
675.62,9.40571
675.72,9.28128
675.82,8.99038
675.92,8.68107
676.02,8.67213
676.12,9.10985
676.22,9.90012
676.32,10.6509
676.42,11.0219
676.52,10.9278
